-4370, -1156, -382, 1775, -1354, -1976
-4497, -1255, -327, 2630, -1938, -2601
-4631, -1347, -278, 3526, -2764, -3318
-4734, -1403, -233, 4029, -3417, -3803
-4829, -1457, -188, 4409, -3886, -4057
-4935, -1519, -111, 4862, -4516, -4261
-5027, -1586, -21, 4754, -5677, -4774
-5128, -1704, 100, 5034, -6521, -5024
-5185, -1821, 237, 5298, -7946, -5508
-5146, -1893, 362, 5754, -9022, -5681
-5124, -1978, 515, 6331, -9666, -5623
-5099, -2080, 711, 6511, -11135, -5704
-4982, -2160, 881, 6590, -12746, -5470
-4782, -2276, 1016, 6891, -13125, -5171
-4611, -2441, 1224, 8066, -12119, -4463
-4539, -2559, 1498, 8319, -14018, -5022
-4384, -2513, 1704, 7215, -16263, -5854
-4030, -2402, 1782, 6450, -17593, -5351
-3693, -2290, 1915, 5330, -16651, -4509
-3594, -2215, 2143, 3011, -18543, -5628
-3481, -2135, 2226, 207, -23139, -7525
-2994, -2056, 2090, -81, -24990, -7550
-2497, -1886, 1946, 769, -22850, -7456
-2074, -1758, 1888, 663, -21845, -7513
-1714, -1654, 1791, 717, -22546, -6960
-1247, -1525, 1597, 550, -22642, -6911
-622, -1344, 1354, 399, -20535, -7414
85, -1110, 1089, -726, -18171, -7744
799, -917, 885, -1327, -15764, -7555
1514, -794, 769, -790, -13869, -7665
2186, -695, 674, 225, -12361, -8191
2807, -610, 526, 1225, -11350, -8006
3404, -579, 339, 2134, -9606, -6902
3927, -577, 118, 2763, -7453, -5308
4278, -545, -77, 2228, -4813, -4025
4476, -474, -231, -389, -2885, -4756
4637, -390, -412, -2590, -2163, -6348
4781, -321, -616, -2556, -1671, -7076
4870, -221, -802, -161, -592, -6434
4895, -53, -968, 2423, 521, -4685
4872, 152, -1122, 2737, 1436, -3368
4777, 350, -1238, 1289, 2892, -2863
4671, 503, -1347, 49, 5032, -2040
4515, 569, -1422, -368, 6833, -502
4248, 528, -1413, 517, 7853, 842
3889, 447, -1313, 2525, 8306, 1523
3585, 363, -1201, 4085, 9457, 1462
3265, 340, -1071, 4252, 10868, 406
2810, 395, -869, 2128, 11238, -456
2371, 367, -561, 633, 10570, 441
2061, 233, -266, 1451, 9833, 1177
1822, 167, -54, 2742, 10469, 452
1548, 215, 163, 1697, 12605, -12
1199, 296, 485, -509, 13356, 772
867, 328, 886, -1170, 10998, 1191
607, 341, 1273, -734, 8809, 1374
504, 453, 1596, -11, 9237, 2204
316, 644, 1967, -1477, 11364, 3742
-72, 519, 2401, -4141, 10312, 4271
-294, 196, 2856, -3651, 6505, 2723
-311, -12, 3304, -2792, 5427, 1637
-341, -94, 3687, -3355, 4396, 1237
-294, -200, 3968, -3060, 3316, 823
-224, -317, 4121, -1477, 2300, 47
-128, -283, 4213, 480, 1606, -718
-14, -60, 4272, 809, 1258, -650
109, 182, 4308, -650, 1258, -140
207, 247, 4328, -1359, 1260, 399
249, 205, 4376, -805, 1089, 451
278, 198, 4431, -687, 423, 114
346, 171, 4402, -1272, -263, 29
426, 84, 4292, -1218, -88, -73
479, 2, 4194, -253, 163, -198
510, -9, 4141, 588, 45, -255
547, 38, 4106, 207, -434, -227
